sgis_adm_cd,resident_adm_code,district_name,adm_name,full_adm_name,population,age_60_69,age_70_79,age_80_89,age_90_99,age_100_plus,elderly_population_60_plus,elderly_ratio_60_plus,area_km2,elderly_density_per_km2,green_ratio_percent,shelter_count,shelter_capacity_total,shelters_per_1000_elderly,capacity_per_1000_elderly,coverage_ratio_500m_area,coverage_gap_500m_area,nearest_shelter_distance_m_centroid,estimated_covered_elderly_area,estimated_uncovered_elderly_area,grid_cell_count_100m,grid_population_total,grid_accessibility_index_exp_d_300,grid_accessibility_lack_score,grid_population_weighted_accessibility_index,grid_population_weighted_accessibility_lack_score,grid_mean_nearest_shelter_distance_m,grid_beyond_500m_ratio,heat_score,vulnerability_score,access_score_existing_area_based,priority_score_existing_pipeline,shelter_source_mode,boundary_source
22520111,2772025000,군위군,군위읍,대구광역시 군위군 군위읍,7882,1767,1213,656,150,1,3787,0.480462,83.71393,45.237,68.6,3,60.0,0.792,15.844,0.02319,0.97681,4707.014,87.8,3699.2,8368,8612.0,0.013726,98.627,0.027942,97.206,5262.613,0.976577,0.0,34.84,100.0,42.194,cache,SGIS 2025 adm_cd=22 low_search=2
22520313,2772033000,군위군,부계면,대구광역시 군위군 부계면,2103,647,456,262,56,0,1421,0.675701,64.774426,21.938,82.3,17,380.0,11.963,267.417,0.181985,0.818015,487.074,258.6,1162.4,6480,2715.0,0.101747,89.825,0.380864,61.914,1284.186,0.81713,0.0,54.896,41.23,31.583,cache,SGIS 2025 adm_cd=22 low_search=2
22520316,2772036000,군위군,산성면,대구광역시 군위군 산성면,1198,379,294,175,44,1,893,0.745409,37.324237,23.925,73.8,15,291.0,16.797,325.868,0.263146,0.736854,571.253,235.0,658.0,3732,1396.0,0.14338,85.662,0.507986,49.201,850.54,0.73821,0.0,60.003,40.494,33.149,cache,SGIS 2025 adm_cd=22 low_search=2
22520317,2772037000,군위군,삼국유사면,대구광역시 군위군 삼국유사면,1327,441,348,178,31,0,998,0.752072,114.395751,8.724,88.7,19,484.0,19.038,484.97,0.124729,0.875271,1644.068,124.5,873.5,11450,1726.0,0.074811,92.519,0.407011,59.299,1257.874,0.87441,0.0,60.0,73.446,43.034,cache,SGIS 2025 adm_cd=22 low_search=2
22520311,2772031000,군위군,소보면,대구광역시 군위군 소보면,2214,673,507,337,64,1,1582,0.714544,99.775173,15.856,76.0,0,0.0,0.0,0.0,0.0,1.0,10967.195,0.0,1582.0,9981,2854.0,0.0,100.0,0.0,100.0,11264.093,1.0,0.0,58.904,100.0,50.616,cache,SGIS 2025 adm_cd=22 low_search=2
22520314,2772034000,군위군,우보면,대구광역시 군위군 우보면,1935,612,463,268,60,0,1403,0.725065,60.172474,23.316,75.1,23,406.0,16.393,289.38,0.240603,0.759397,763.754,337.6,1065.4,6008,2215.0,0.133045,86.696,0.431446,56.855,889.382,0.758822,0.0,59.99,46.324,34.894,cache,SGIS 2025 adm_cd=22 low_search=2
22520315,2772035000,군위군,의흥면,대구광역시 군위군 의흥면,2216,655,559,333,71,0,1618,0.730144,54.551025,29.66,70.0,28,549.0,17.305,339.308,0.304338,0.695662,416.412,492.4,1125.6,5448,2629.0,0.158774,84.123,0.53595,46.405,814.742,0.694567,0.0,60.026,34.973,31.501,cache,SGIS 2025 adm_cd=22 low_search=2
22520312,2772032000,군위군,효령면,대구광역시 군위군 효령면,3629,1112,848,426,80,0,2466,0.679526,98.356225,25.072,78.9,34,717.0,13.788,290.754,0.23065,0.76935,408.469,568.8,1897.2,9834,4514.0,0.125838,87.416,0.408458,59.154,992.787,0.769067,0.0,55.298,37.425,30.582,cache,SGIS 2025 adm_cd=22 low_search=2
22040650,2720065000,남구,대명10동,대구광역시 남구 대명10동,7759,1549,1215,619,81,2,3466,0.446707,0.522085,6638.761,9.9,5,644.0,1.443,185.805,1.0,0.0,169.676,3466.0,0.0,54,8451.0,0.635343,36.466,0.641858,35.814,144.897,0.0,0.0,58.516,3.433,21.511,cache,SGIS 2025 adm_cd=22 low_search=2
22040660,2720066000,남구,대명11동,대구광역시 남구 대명11동,7108,1604,1210,558,92,1,3465,0.487479,0.906231,3823.527,36.4,2,24.0,0.577,6.926,0.688806,0.311194,234.611,2386.7,1078.3,93,8333.0,0.352311,64.769,0.518904,48.11,401.229,0.311828,0.0,51.127,16.358,22.802,cache,SGIS 2025 adm_cd=22 low_search=2
22040560,2720056000,남구,대명1동,대구광역시 남구 대명1동,9187,1748,1263,545,81,2,3639,0.396103,0.46276,7863.68,0.0,4,66.0,1.099,18.137,1.0,0.0,199.713,3639.0,0.0,45,9288.0,0.568972,43.103,0.55671,44.329,184.418,0.0,0.0,58.34,4.216,21.684,cache,SGIS 2025 adm_cd=22 low_search=2
22040570,2720057100,남구,대명2동,대구광역시 남구 대명2동,15180,1866,1334,645,104,1,3950,0.260211,0.81483,4847.634,9.2,4,240.0,1.013,60.759,1.0,0.0,125.681,3950.0,0.0,84,11843.0,0.551143,44.886,0.520507,47.949,192.304,0.0,0.0,31.895,2.287,11.849,cache,SGIS 2025 adm_cd=22 low_search=2
22040580,2720058600,남구,대명3동,대구광역시 남구 대명3동,12100,2029,1526,677,109,1,4342,0.358843,1.018661,4262.46,8.5,2,49.0,0.461,11.285,0.995991,0.004009,70.266,4324.6,17.4,99,10563.0,0.449662,55.034,0.470295,52.97,258.143,0.0,0.0,39.662,0.987,14.178,cache,SGIS 2025 adm_cd=22 low_search=2
22040590,2720059000,남구,대명4동,대구광역시 남구 대명4동,8958,1952,1412,640,94,2,4100,0.457691,0.720205,5692.824,7.3,4,148.0,0.976,36.098,0.999979,2.1e-05,134.935,4099.9,0.1,71,9581.0,0.524245,47.575,0.542794,45.721,213.234,0.0,0.0,55.753,2.529,20.272,cache,SGIS 2025 adm_cd=22 low_search=2
22040600,2720060000,남구,대명5동,대구광역시 남구 대명5동,8858,1114,742,358,65,0,2279,0.257282,0.918119,2482.249,27.3,3,56.0,1.316,24.572,0.988662,0.011338,176.069,2253.2,25.8,95,6817.0,0.415835,58.417,0.426838,57.316,286.289,0.0,0.0,21.849,4.009,8.85,cache,SGIS 2025 adm_cd=22 low_search=2
22040610,2720061000,남구,대명6동,대구광역시 남구 대명6동,10238,1720,1249,520,103,2,3594,0.351045,1.80921,1986.503,64.7,5,98.0,1.391,27.268,0.417244,0.582756,613.025,1499.6,2094.4,186,10924.0,0.25419,74.581,0.587997,41.2,777.275,0.586022,0.0,29.482,36.02,21.125,cache,SGIS 2025 adm_cd=22 low_search=2
