대응시설부족도순위,구·군,행정동,행정동코드,미래온열질환위험,지역취약도,보호필요도,시설대응력,시설대응력부족분(100-시설대응력),대응시설부족도,지역취약도결합방법,시설대응력결합방법,미래위험대체처리,미래위험대체처리요약,시설대응력종합모형,그늘막자료상태,시설대응력대체처리·주의
1,군위군,산성면,2772036000,100,78.42,91.37,36.6,63.4,82.98,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
2,군위군,의흥면,2772035000,100,80.7,92.28,38.86,61.14,82.94,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
3,군위군,소보면,2772031000,100,74.31,89.72,37.79,62.21,81.47,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
4,군위군,우보면,2772034000,100,74.3,89.72,39.28,60.72,81.02,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
5,군위군,부계면,2772033000,100,64.48,85.79,33.71,66.29,79.94,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
6,남구,대명3동,2720058600,100,50.86,80.34,25.53,74.47,78.58,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
7,군위군,군위읍,2772025000,100,46.82,78.73,34.9,65.1,74.64,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
8,남구,이천동,2720051500,100,44.55,77.82,46.48,53.52,70.53,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
9,남구,대명2동,2720057100,100,40.43,76.17,54.81,45.19,66.88,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
10,군위군,효령면,2772032000,64.86,66.34,65.45,36.37,63.63,64.9,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
