district_name,adm_name,green_ratio_percent
군위군,소보면,76.0
군위군,군위읍,68.6
군위군,효령면,78.9
군위군,우보면,75.1
군위군,부계면,82.3
군위군,산성면,73.8
군위군,의흥면,70.0
군위군,삼국유사면,88.7
남구,대명3동,8.5
남구,대명2동,9.2
남구,이천동,28.8
남구,대명4동,7.3
남구,대명1동,0.0
남구,대명5동,27.3
남구,봉덕1동,2.7
남구,대명10동,9.9
남구,대명11동,36.4
남구,대명6동,64.7
남구,대명9동,63.3
남구,봉덕3동,64.6
남구,봉덕2동,73.6
달서구,신당동,30.4
달서구,이곡2동,23.9
달서구,이곡1동,38.9
달서구,용산2동,38.4
달서구,용산1동,13.1
달서구,죽전동,2.8
달서구,두류3동,47.1
달서구,두류1.2동,19.5
달서구,성당동,25.7
달서구,감삼동,1.3
달서구,장기동,25.2
달서구,월성2동,16.8
달서구,본동,30.9
달서구,본리동,5.5
달서구,송현2동,1.6
달서구,월성1동,20.3
달서구,유천동,18.6
달서구,상인1동,11.9
달서구,송현1동,56.1
달서구,상인3동,83.7
달서구,상인2동,2.4
달서구,진천동,51.9
달서구,도원동,82.2
달성군,하빈면,53.6
달성군,다사읍,57.0
달성군,화원읍,68.0
달성군,가창면,87.2
달성군,옥포읍,63.5
달성군,논공읍,58.6
달성군,유가읍,75.4
달성군,현풍읍,46.6
달성군,구지면,43.9
동구,신암2동,1.3
동구,신천1.2동,1.4
동구,신천3동,3.6
동구,신암3동,4.0
동구,신암1동,6.5
동구,신암4동,8.0
동구,신천4동,2.9
동구,효목2동,0.5
동구,신암5동,11.4
동구,효목1동,19.0
동구,지저동,46.2
동구,불로.봉무동,49.2
동구,공산동,81.4
동구,도평동,82.9
동구,동촌동,61.2
동구,방촌동,13.8
동구,해안동,54.8
동구,안심2동,70.8
동구,안심1동,13.9
동구,안심4동,9.0
동구,혁신동,77.4
동구,안심3동,11.8
북구,칠성동,2.7
북구,고성동,3.5
북구,대현동,2.2
북구,산격3동,23.9
북구,침산2동,5.9
북구,침산3동,17.6
북구,산격1동,35.6
북구,산격4동,17.1
북구,복현1동,4.7
북구,복현2동,20.5
북구,산격2동,10.9
북구,검단동,16.1
북구,무태조야동,75.2
북구,노원동,2.2
북구,침산1동,21.1
북구,국우동,73.2
북구,구암동,66.2
북구,동천동,7.3
북구,관문동,66.7
북구,태전2동,39.3
북구,태전1동,43.0
북구,관음동,55.2
북구,읍내동,66.1
서구,비산2.3동,3.5
서구,비산4동,0.1
서구,내당2.3동,0.8
서구,원대동,1.9
서구,평리2동,2.6
서구,비산6동,0.0
서구,평리1동,0.0
서구,비산1동,4.5
서구,비산5동,0.9
서구,내당1동,7.0
서구,평리4동,0.0
서구,평리3동,4.6
서구,비산7동,11.1
서구,평리6동,7.3
서구,평리5동,5.7
서구,상중이동,35.7
서구,내당4동,5.5
수성구,수성4가동,6.7
수성구,수성1가동,4.0
수성구,중동,2.0
수성구,상동,5.7
수성구,파동,79.5
수성구,두산동,34.0
수성구,수성2.3가동,1.4
수성구,범어3동,3.3
수성구,범어1동,26.4
수성구,황금2동,17.9
수성구,지산2동,57.8
수성구,지산1동,50.0
수성구,황금1동,68.0
수성구,범어4동,27.3
수성구,범어2동,16.4
수성구,만촌1동,45.8
수성구,만촌2동,44.7
수성구,만촌3동,45.44
수성구,고산2동,62.9
수성구,범물2동,71.7
수성구,범물1동,87.1
수성구,고산1동,83.4
수성구,고산3동,16.2
중구,성내3동,20.1
중구,대신동,3.6
중구,남산4동,9.1
중구,남산3동,14.2
중구,남산2동,1.1
중구,성내2동,5.0
중구,성내1동,2.0
중구,남산1동,0.0
중구,대봉2동,0.0
중구,대봉1동,5.6
중구,삼덕동,4.4
중구,동인동,8.9
