resident_adm_code,district_name,adm_name,population,age_60_69,age_70_79,age_80_89,age_90_99,age_100_plus,elderly_population_60_plus,elderly_ratio_60_plus,base_year_month,source_note
2711064000,중구,남산1동,5023,609,437,253,32,1,1332,0.265180,2026-07,행정안전부 주민등록 인구통계 원본
2711065000,중구,남산2동,7364,754,578,278,60,1,1671,0.226915,2026-07,행정안전부 주민등록 인구통계 원본
2711066000,중구,남산3동,5758,918,723,383,82,0,2106,0.365752,2026-07,행정안전부 주민등록 인구통계 원본
2711067000,중구,남산4동,15811,1967,1634,787,127,6,4521,0.285940,2026-07,행정안전부 주민등록 인구통계 원본
2711068000,중구,대봉1동,7614,938,637,480,92,0,2147,0.281981,2026-07,행정안전부 주민등록 인구통계 원본
2711069000,중구,대봉2동,5902,653,461,216,25,0,1355,0.229583,2026-07,행정안전부 주민등록 인구통계 원본
2711059500,중구,대신동,7199,1064,734,351,47,2,2198,0.305320,2026-07,행정안전부 주민등록 인구통계 원본
2711051700,중구,동인동,10913,1236,870,466,105,2,2679,0.245487,2026-07,행정안전부 주민등록 인구통계 원본
2711054500,중구,삼덕동,7429,597,430,211,42,1,1281,0.172432,2026-07,행정안전부 주민등록 인구통계 원본
2711056500,중구,성내1동,5481,510,394,230,46,3,1183,0.215837,2026-07,행정안전부 주민등록 인구통계 원본
2711057500,중구,성내2동,9201,910,606,298,42,0,1856,0.201717,2026-07,행정안전부 주민등록 인구통계 원본
2711058500,중구,성내3동,13600,1053,641,303,32,1,2030,0.149265,2026-07,행정안전부 주민등록 인구통계 원본
2714076000,동구,공산동,19641,3823,2739,1321,277,4,8164,0.415661,2026-07,행정안전부 주민등록 인구통계 원본
2714061500,동구,도평동,3355,733,520,267,50,0,1570,0.467958,2026-07,행정안전부 주민등록 인구통계 원본
2714065500,동구,동촌동,13744,2861,1927,914,120,3,5825,0.423821,2026-07,행정안전부 주민등록 인구통계 원본
2714067000,동구,방촌동,16667,3692,2480,1155,222,6,7555,0.453291,2026-07,행정안전부 주민등록 인구통계 원본
2714062000,동구,불로.봉무동,19329,3031,1898,735,114,3,5781,0.299084,2026-07,행정안전부 주민등록 인구통계 원본
2714051000,동구,신암1동,10724,1570,1230,717,91,2,3610,0.336628,2026-07,행정안전부 주민등록 인구통계 원본
2714052000,동구,신암2동,11405,1574,1185,618,97,1,3475,0.304691,2026-07,행정안전부 주민등록 인구통계 원본
2714053000,동구,신암3동,11129,1392,1042,465,63,1,2963,0.266241,2026-07,행정안전부 주민등록 인구통계 원본
2714054000,동구,신암4동,18295,2834,1726,721,95,3,5379,0.294015,2026-07,행정안전부 주민등록 인구통계 원본
2714054100,동구,신암5동,7291,1352,996,461,63,1,2873,0.394047,2026-07,행정안전부 주민등록 인구통계 원본
2714055500,동구,신천1.2동,10974,2117,1666,931,125,0,4839,0.440951,2026-07,행정안전부 주민등록 인구통계 원본
2714057000,동구,신천3동,14784,1913,1139,553,102,0,3707,0.250744,2026-07,행정안전부 주민등록 인구통계 원본
2714058000,동구,신천4동,12884,1542,1027,460,74,1,3104,0.240919,2026-07,행정안전부 주민등록 인구통계 원본
2714072000,동구,안심1동,37007,6518,4368,1784,287,6,12963,0.350285,2026-07,행정안전부 주민등록 인구통계 원본
2714073000,동구,안심2동,16966,2761,1644,610,103,3,5121,0.301839,2026-07,행정안전부 주민등록 인구통계 원본
2714074200,동구,안심3동,19857,2183,1615,736,111,2,4647,0.234023,2026-07,행정안전부 주민등록 인구통계 원본
2714074700,동구,안심4동,26183,4013,2432,1040,158,1,7644,0.291945,2026-07,행정안전부 주민등록 인구통계 원본
2714064000,동구,지저동,12287,2947,1954,784,98,2,5785,0.470823,2026-07,행정안전부 주민등록 인구통계 원본
2714068500,동구,해안동,12876,2758,2030,917,142,3,5850,0.454334,2026-07,행정안전부 주민등록 인구통계 원본
2714075500,동구,혁신동,16478,1644,1041,346,51,1,3083,0.187098,2026-07,행정안전부 주민등록 인구통계 원본
2714059000,동구,효목1동,11384,2472,1983,944,118,2,5519,0.484803,2026-07,행정안전부 주민등록 인구통계 원본
2714060000,동구,효목2동,14092,2484,1762,752,136,2,5136,0.364462,2026-07,행정안전부 주민등록 인구통계 원본
2717051000,서구,내당1동,14642,2352,1269,530,79,1,4231,0.288963,2026-07,행정안전부 주민등록 인구통계 원본
2717052500,서구,내당2.3동,8056,1802,1373,633,75,1,3884,0.482125,2026-07,행정안전부 주민등록 인구통계 원본
2717054000,서구,내당4동,14055,2914,2026,823,143,4,5910,0.420491,2026-07,행정안전부 주민등록 인구통계 원본
2717055000,서구,비산1동,7716,1811,1288,544,69,0,3712,0.481078,2026-07,행정안전부 주민등록 인구통계 원본
2717056500,서구,비산2.3동,7512,1856,1367,754,108,2,4087,0.544063,2026-07,행정안전부 주민등록 인구통계 원본
2717058000,서구,비산4동,8097,1904,1279,567,72,0,3822,0.472027,2026-07,행정안전부 주민등록 인구통계 원본
2717059000,서구,비산5동,4704,1146,894,428,61,0,2529,0.537628,2026-07,행정안전부 주민등록 인구통계 원본
2717060000,서구,비산6동,6287,1579,978,441,69,2,3069,0.488150,2026-07,행정안전부 주민등록 인구통계 원본
2717061000,서구,비산7동,9206,2015,1303,561,59,2,3940,0.427982,2026-07,행정안전부 주민등록 인구통계 원본
2717067500,서구,상중이동,16790,3584,2220,756,148,1,6709,0.399583,2026-07,행정안전부 주민등록 인구통계 원본
2717069500,서구,원대동,9925,1812,1274,553,80,1,3720,0.374811,2026-07,행정안전부 주민등록 인구통계 원본
2717062000,서구,평리1동,6100,1449,995,461,62,3,2970,0.486885,2026-07,행정안전부 주민등록 인구통계 원본
2717063000,서구,평리2동,6798,1412,920,341,34,1,2708,0.398352,2026-07,행정안전부 주민등록 인구통계 원본
2717064000,서구,평리3동,12060,2350,1425,587,77,1,4440,0.368159,2026-07,행정안전부 주민등록 인구통계 원본
2717065000,서구,평리4동,14967,3199,1942,699,108,1,5949,0.397474,2026-07,행정안전부 주민등록 인구통계 원본
2717066000,서구,평리5동,10509,1107,611,209,22,2,1951,0.185650,2026-07,행정안전부 주민등록 인구통계 원본
2717066100,서구,평리6동,5375,1015,573,188,29,0,1805,0.335814,2026-07,행정안전부 주민등록 인구통계 원본
2720065000,남구,대명10동,7759,1549,1215,619,81,2,3466,0.446707,2026-07,행정안전부 주민등록 인구통계 원본
2720066000,남구,대명11동,7108,1604,1210,558,92,1,3465,0.487479,2026-07,행정안전부 주민등록 인구통계 원본
2720056000,남구,대명1동,9187,1748,1263,545,81,2,3639,0.396103,2026-07,행정안전부 주민등록 인구통계 원본
2720057100,남구,대명2동,15180,1866,1334,645,104,1,3950,0.260211,2026-07,행정안전부 주민등록 인구통계 원본
2720058600,남구,대명3동,12100,2029,1526,677,109,1,4342,0.358843,2026-07,행정안전부 주민등록 인구통계 원본
2720059000,남구,대명4동,8958,1952,1412,640,94,2,4100,0.457691,2026-07,행정안전부 주민등록 인구통계 원본
2720060000,남구,대명5동,8858,1114,742,358,65,0,2279,0.257282,2026-07,행정안전부 주민등록 인구통계 원본
2720061000,남구,대명6동,10238,1720,1249,520,103,2,3594,0.351045,2026-07,행정안전부 주민등록 인구통계 원본
2720064000,남구,대명9동,13012,2357,1680,793,121,0,4951,0.380495,2026-07,행정안전부 주민등록 인구통계 원본
2720053000,남구,봉덕1동,7618,1486,1070,588,121,2,3267,0.428853,2026-07,행정안전부 주민등록 인구통계 원본
2720054000,남구,봉덕2동,12787,2013,1521,745,168,3,4450,0.348010,2026-07,행정안전부 주민등록 인구통계 원본
2720055000,남구,봉덕3동,13863,2537,1916,1006,187,2,5648,0.407415,2026-07,행정안전부 주민등록 인구통계 원본
2720051500,남구,이천동,14184,1970,1527,950,175,4,4626,0.326142,2026-07,행정안전부 주민등록 인구통계 원본
2723068000,북구,검단동,5388,1240,889,393,63,1,2586,0.479955,2026-07,행정안전부 주민등록 인구통계 원본
2723051000,북구,고성동,14568,1046,683,275,55,0,2059,0.141337,2026-07,행정안전부 주민등록 인구통계 원본
2723071500,북구,관문동,31927,5001,2599,949,143,4,8696,0.272371,2026-07,행정안전부 주민등록 인구통계 원본
2723075000,북구,관음동,13654,3023,1568,670,111,2,5374,0.393584,2026-07,행정안전부 주민등록 인구통계 원본
2723074500,북구,구암동,30165,4950,1971,1033,154,5,8113,0.268954,2026-07,행정안전부 주민등록 인구통계 원본
2723080000,북구,국우동,29070,3629,1625,810,145,2,6211,0.213657,2026-07,행정안전부 주민등록 인구통계 원본
2723079000,북구,노원동,10922,2365,1551,535,54,1,4506,0.412562,2026-07,행정안전부 주민등록 인구통계 원본
2723064500,북구,대현동,15511,2556,1878,1013,154,1,5602,0.361163,2026-07,행정안전부 주민등록 인구통계 원본
2723078000,북구,동천동,24605,3292,1335,800,109,2,5538,0.225076,2026-07,행정안전부 주민등록 인구통계 원본
2723069500,북구,무태조야동,32444,4857,2840,1089,155,2,8943,0.275644,2026-07,행정안전부 주민등록 인구통계 원본
2723067100,북구,복현1동,7072,893,545,194,28,0,1660,0.234729,2026-07,행정안전부 주민등록 인구통계 원본
2723067200,북구,복현2동,28639,4487,2304,861,136,4,7792,0.272077,2026-07,행정안전부 주민등록 인구통계 원본
2723061000,북구,산격1동,7332,1838,1460,719,98,1,4116,0.561375,2026-07,행정안전부 주민등록 인구통계 원본
2723062000,북구,산격2동,9348,2012,1160,525,64,3,3764,0.402653,2026-07,행정안전부 주민등록 인구통계 원본
2723063000,북구,산격3동,8336,1139,904,392,60,1,2496,0.299424,2026-07,행정안전부 주민등록 인구통계 원본
2723063100,북구,산격4동,6934,1435,1065,467,58,0,3025,0.436256,2026-07,행정안전부 주민등록 인구통계 원본
2723077000,북구,읍내동,24509,4707,2195,1001,180,3,8086,0.329920,2026-07,행정안전부 주민등록 인구통계 원본
2723052600,북구,칠성동,23599,2893,1876,940,165,8,5882,0.249248,2026-07,행정안전부 주민등록 인구통계 원본
2723055000,북구,침산1동,3428,887,563,212,37,2,1701,0.496208,2026-07,행정안전부 주민등록 인구통계 원본
2723056000,북구,침산2동,17800,2102,1262,594,84,4,4046,0.227303,2026-07,행정안전부 주민등록 인구통계 원본
2723057000,북구,침산3동,17673,2785,1737,863,130,0,5515,0.312058,2026-07,행정안전부 주민등록 인구통계 원본
2723072500,북구,태전1동,21026,3817,1991,918,168,2,6896,0.327975,2026-07,행정안전부 주민등록 인구통계 원본
2723073500,북구,태전2동,21561,4008,2197,913,124,6,7248,0.336163,2026-07,행정안전부 주민등록 인구통계 원본
2726067000,수성구,고산1동,31006,4619,2208,1016,173,2,8018,0.258595,2026-07,행정안전부 주민등록 인구통계 원본
2726068000,수성구,고산2동,25494,3984,2189,975,172,5,7325,0.287323,2026-07,행정안전부 주민등록 인구통계 원본
2726069000,수성구,고산3동,29072,5033,2464,1243,251,5,8996,0.309439,2026-07,행정안전부 주민등록 인구통계 원본
2726064000,수성구,두산동,14758,2148,1142,426,78,4,3798,0.257352,2026-07,행정안전부 주민등록 인구통계 원본
2726055000,수성구,만촌1동,20138,3230,2186,1025,191,4,6636,0.329526,2026-07,행정안전부 주민등록 인구통계 원본
2726056000,수성구,만촌2동,13038,1722,1069,466,92,3,3352,0.257095,2026-07,행정안전부 주민등록 인구통계 원본
2726056100,수성구,만촌3동,20470,1861,1113,507,75,1,3557,0.173766,2026-07,행정안전부 주민등록 인구통계 원본
2726066100,수성구,범물1동,9614,2293,1977,952,178,3,5403,0.561993,2026-07,행정안전부 주민등록 인구통계 원본
2726066200,수성구,범물2동,15478,2832,1665,576,111,1,5185,0.334992,2026-07,행정안전부 주민등록 인구통계 원본
2726051000,수성구,범어1동,22636,2302,1322,649,105,1,4379,0.193453,2026-07,행정안전부 주민등록 인구통계 원본
2726052000,수성구,범어2동,15278,1864,1119,567,99,3,3652,0.239037,2026-07,행정안전부 주민등록 인구통계 원본
