행정동,관리번호,소재지주소,설치장소,그늘막지름(M),데이터기준일자
범어1동,범어2,대구광역시 수성구 동대구로 330   (범어동),범어네거리 남동편(수성구청 라인),5,2025-07-19
범어1동,범어3,대구광역시 수성구 동대구로 313   (범어동),범어네거리 남서편(범어지구대 앞),5,2025-07-19
범어1동,범어1동1,대구광역시 수성구 달구벌대로 2372   (범어동),범어천네거리 분더레스트 앞,5,2025-07-19
범어1동,범어1동2,대구광역시 수성구 동대구로 255   (범어동),범어1동 SK LPG 충전소 앞,5,2025-07-19
범어1동,범어1동3,대구광역시 수성구 명덕로 497   (범어동),대백마트 앞,5.4,2025-07-19
범어1동,범어1동4,대구광역시 수성구 동대구로 248   (범어동),동대구로 250(태왕유성하이빌 상가 안경가게 앞),5.4,2025-07-19
범어1동,범어1동5,대구광역시 수성구 명덕로 488   (범어동),cu수성제일점 옆,5.4,2025-07-19
범어1동,범어1동6,대구광역시 수성구 명덕로 485,거송갈비찜 범어점 앞 ,4.4,2025-07-19
범어2동,범어1,대구광역시 수성구 달구벌대로 2401   (범어동),범어네거리 북동편(교직원공제회 앞),5,2025-07-19
범어2동,범어2동1,대구광역시 수성구 국채보상로 942   (범어동),카닥터 앞,5,2025-07-19
범어2동,범어2동3,대구광역시 수성구 세진로 36,에이스탑마트 앞,5.4,2025-07-19
범어3동,범어4,대구광역시 수성구 달구벌대로 2401   (범어동),범어네거리 북서편(수성구청 대각선방향),5,2025-07-19
범어3동,MBC1,대구광역시 수성구 동대구로 405,MBC네거리 남서편(기아자동차 앞),5,2025-07-19
범어3동,동신교1,대구광역시 수성구 신천동로 496,동신교 교차로 남동편(중앙중학교 앞),5,2025-07-19
범어3동,청구 1,대구광역시 수성구 국채보상로 800,청구네거리 교통섬(KT 앞),5,2025-07-19
범어3동,동신교2,대구광역시 수성구 범어동 1019,중앙중학교 건너편 인자수성돌비석 앞,5.4,2025-07-19
만촌1동,만촌1동 1,대구광역시 수성구 국채보상로 913,동대구LPG충전소 앞 교통섬,5,2025-07-19
만촌1동,만촌1동 2,대구광역시 수성구 국채보상로 989,차량등록사업소 건너편 교통섬(현대블루핸즈 앞),5,2025-07-19
만촌1동,만촌1동 3,대구광역시 수성구 무열로 167,수성시니어클럽 건너편 교통섬,5,2025-07-19
만촌1동,만촌1동 4,대구광역시 수성구 만촌동 468-8,무열대 후문 고모로 입구 ,5.4,2025-07-19
만촌2동,만촌 4,대구광역시 수성구 무열로 5 ,만촌네거리 남서편(메트로병원 앞),5,2025-07-19
만촌2동,만촌2동1,대구 수성구 만촌동,무열대삼거리 교통섬,5,2025-07-19
만촌2동,만촌2동2,대구 수성구 만촌동,동원초사거리 교통섬,5,2025-07-19
만촌2동,만촌2동3,대구광역시 수성구 세진로 41,동원초 남편 교차로 신현대카클리닉 앞 교통섬,5.4,2025-07-19
만촌2동,만촌2동4,대구 수성구 달구벌대로 2599,만촌역태왕디아너스 105동 앞 ,5.4,2025-07-19
만촌3동,만촌3,대구광역시 수성구 달구벌대로 2594   (만촌동),만촌네거리 남서편 교통섬,5,2025-07-19
만촌3동,담티1,대구 수성구 달구벌대로 2670,담티역2번출구 파리바게뜨 만촌금탑점 앞 ,5.4,2025-07-19
수성1가동,동성학교1,대구 수성구 수성1가동,동성학교네거리 북서편(KT대리점 앞),5,2025-07-19
수성1가동,수성교 1,대구 수성구 수성1가동,수성교 부근 교통섬(수성태왕아너스클럽 앞),5,2025-07-19
수성1가동,수성1가 1,대구 수성구 수성1가동,수성롯데캐슬더퍼스트 2단지 상가 앞(아름다운 가게 앞),5,2025-07-19
수성1가동,수성1가2,대구광역시 수성구 명덕로 398,동성학교네거리 LG유플러스 앞,5.4,2025-07-19
수성2.3가동,대구은행1,대구광역시 수성구 달구벌대로 지하2300   (수성동4가),대구은행 본점 앞(대구은행역 3번출구 앞),5,2025-07-19
수성2.3가동,수성23가2,대구광역시 수성구 명덕로 438   (수성동3가),우리연합정형외과 앞,5,2025-07-19
수성2.3가동,수성23가3,대구광역시 수성구 명덕로 432   (수성동3가),수성시장네거리 남동편(제니스연합내과 앞),5,2025-07-19
수성2.3가동,수성23가4,대구 수성구 수성2.3가동,화성파크드림2단지 204동 앞,5.4,2025-07-19
수성2.3가동,수성23가5,대구광역시 수성구 달구벌대로 2334   (수성동3가),카페공차 앞,5.4,2025-07-19
수성2.3가동,수성23가6,대구광역시 수성구 명덕로 428   (수성동2가),베스킨라빈스 앞,5.4,2025-07-19
수성2.3가동,수성23가7,대구 수성구 수성2.3가동,수성23가 275(화성파크2단지 203동 앞),5.4,2025-07-19
수성2.3가동,수성23가8,"대구광역시 수성구 들안로 300   (수성동3가, 수성 코오롱 하늘채)",수성23가 289(코오롱하늘채 102동 코너),5,2025-07-19
