연번,동별,구분,시설명,소재지,연락처,데이터기준일자
1,범어1동,공설,수성상록경로당,동대구로50길 66,0,2025-09-15
2,범어1동,공설,범어1동 제1경로당,동대구로54길 7,053-743-3288,2025-09-15
3,범어1동,공설,범어1동 제2경로당,청솔로16길 35,053-765-1330,2025-09-15
4,범어1동,아파트,궁전맨션경로당,동대구로 274,053-756-8020,2025-09-15
5,범어1동,아파트,아진맨션경로당,동대구로 38길 80,053-751-2411,2025-09-15
6,범어1동,아파트,태왕유성하이빌경로당,동대구로 250,053-746-6144,2025-09-15
7,범어1동,아파트,범어유림노르웨이숲경로당,동대구로50길 37,053-741-6008,2025-09-15
8,범어1동,아파트,범어1동 청구푸른마을경로당,동대구로 240,053-742-1106,2025-09-15
9,범어1동,아파트,범어쌍용예가아파트경로당,명덕로 477,053-741-1704,2025-09-15
10,범어1동,아파트,범어롯데캐슬경로당,동대구로 300,0,2025-09-15
11,범어1동,아파트,수성범어W아파트경로당,달구벌대로 2436,0,2025-09-15
12,범어2동,공설,범어2동 제1경로당,동원로11길 14,053-742-9237,2025-09-15
13,범어2동,공설,범어2동 제2경로당,동대구로80길 73-3,053-752-2363,2025-09-15
14,범어2동,아파트,범어2동 두산위브더제니스경로당,달구벌대로 2435,053-759-6226,2025-09-15
15,범어3동,공설,범어3동 제1경로당,들안로78길 46,053-752-0282,2025-09-15
16,범어3동,아파트,청구성조타운경로당,국채보상로 846,053-751-1577,2025-09-15
17,범어3동,아파트,범어화성파크드림경로당,범어천로 180,053-744-2141,2025-09-15
18,범어3동,아파트,범어태왕아너스경로당,상록로 41,053-755-4754,2025-09-15
19,범어3동,아파트,래미안범어경로당,상록로 69,053-745-1009,2025-09-15
20,범어3동,아파트,범어월드메르디앙 웨스턴카운티경로당,범어천로 200,053-759-1113,2025-09-15
21,범어3동,아파트,범어역우방유쉘경로당,동대구로 345,053-746-8648,2025-09-15
22,범어3동,아파트,수성태왕아너스경로당,들안로77길 30,0,2025-09-15
23,범어3동,아파트,범어센트럴푸르지오경로당,상록로 15,053-756-9961,2025-09-15
24,범어4동,공설,범어4동제1경로당,청호로85길 46,053-752-5262,2025-09-15
25,범어4동,공설,유신경로당,청호로88안길 29-3,053-756-7581,2025-09-15
26,범어4동,공설,범어4동제2경로당,범어로20길 24-1,053-741-1542,2025-09-15
27,범어4동,아파트,장원맨션경로당,청호로 370,053-754-7383,2025-09-15
28,범어4동,아파트,범어가든3차경로당,청호로 365,053-752-4812,2025-09-15
29,범어4동,아파트,서한두레맨션경로당,달구벌대로496길72,053-756-1126,2025-09-15
30,범어4동,아파트,범어청구하이츠경로당,청호로84안길2,053-213-7788,2025-09-15
31,범어4동,아파트,범어에스케이뷰경로당,범어로 73,053-743-0086,2025-09-15
32,범어4동,아파트,우방청솔경로당,청호로 422,0,2025-09-15
33,만촌1동,공설,만촌1동 제1경로당,만촌로24길 37-20,053-751-7843,2025-09-15
34,만촌1동,공설,느지경로당,화랑로40길 46,053-943-6176,2025-09-15
