무더위쉼터식별자,무더위쉼터명,주소,상세주소,유형,공간(면적),수용인원,선풍기수,에어컨수,냉방여부,휴게시설여부,야간운영여부,온도정보,전기사용여부,안내표지판여부,홍보여부,주말운영여부,위도,경도,담당자,담당자번호,담당자2,담당자2번호,담당자3,담당자3번호,사용여부,삭제여부
excel_00001,범어1동 제1경로당,대구광역시 수성구 동대구로54길 7,,경로당,25,7,4,2,Y,Y,N,Y,Y,Y,Y,N,35.8538526,128.6275303,서○○,053-666-2891,양○○,053-666-2610,허○○,053-666-3533,Y,N
excel_00002,홀트대구종합복지관,대구광역시 수성구 달구벌대로488길 13,,복지관,20,6,1,2,Y,Y,N,Y,N,Y,Y,N,35.8575746,128.6296678,서○○,053-666-2891,박○○,053-666-2558,허○○,053-666-3533,Y,N
excel_00003,범어1동행정복지센터,대구광역시 수성구 범어천로 97,,행정복지센터,25,7,2,1,Y,Y,N,Y,N,Y,Y,N,35.8557077,128.6220441,서○○,053-666-2891,양○○,053-666-2558,허○○,053-666-3533,Y,N
excel_00004,iM뱅크수성구청지점,대구광역시 수성구 달구벌대로 2450,,은행,20,6,1,1,Y,Y,N,Y,N,Y,Y,N,35.8584831,128.6299548,서○○,053-666-2891,박○○,053-666-2558,허○○,053-666-3533,Y,N
excel_00005,범어1동 제2경로당,대구광역시 수성구 청솔로16길 35,,경로당,153,46,2,2,Y,Y,N,Y,Y,Y,Y,N,35.8519206,128.6229346,서○○,053-666-2891,양○○,053-666-2610,허○○,053-666-3533,Y,N
excel_00006,범어2동행정복지센터,대구광역시 수성구 달구벌대로489안길 47,,행정복지센터,70,21,2,1,Y,Y,N,Y,N,Y,Y,N,35.8622916,128.6310625,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3552,Y,N
excel_00007,동대구농협본점,대구광역시 수성구 달구벌대로 2487,,은행,70,21,1,1,Y,Y,N,Y,N,Y,Y,N,35.8592464,128.634642,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3552,Y,N
excel_00008,iM뱅크동대구로지점,대구광역시 수성구 동대구로 382,,은행,60,18,1,1,Y,Y,N,Y,N,Y,Y,N,35.8645367,128.6274144,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3552,Y,N
excel_00009,범어2동 제1경로당,대구광역시 수성구 동원로11길 14,,경로당,70,21,2,2,Y,Y,N,Y,Y,Y,Y,Y,35.8637605,128.6388731,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3552,Y,N
excel_00010,범어도서관,대구광역시 수성구 달구벌대로 2451,,도서관,60,18,0,1,Y,Y,N,Y,N,Y,Y,Y,35.859517,128.630672,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3552,Y,N
excel_00011,범어2동 제2경로당,대구광역시 수성구 동대구로80길 73-3 ,,경로당,82,24,4,3,Y,Y,N,Y,Y,Y,Y,N,35.8663953,128.6310849,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3552,Y,N
excel_00012,범어3동행정복지센터,대구광역시 수성구 상록로 42,,행정복지센터,20,6,5,5,Y,Y,N,Y,N,Y,Y,N,35.8633436,128.6242524,서○○,053-666-2891,박○○,053-666-2558,강○○,053-666-3571,Y,N
excel_00013,범어3동 제1경로당,대구광역시 수성구 들안로78길 46,,경로당,20,6,2,3,Y,Y,N,Y,Y,Y,Y,N,35.8654434,128.6202478,서○○,053-666-2891,양○○,053-666-2610,강○○,053-666-3571,Y,N
excel_00014,iM뱅크범어동지점,대구광역시 수성구 달구벌대로 2387,,은행,18,5,0,6,Y,Y,N,Y,N,Y,Y,N,35.8596651,128.6236615,서○○,053-666-2891,박○○,053-666-2558,강○○,053-666-3571,Y,N
excel_00015,범어4동행정복지센터,대구광역시 수성구 달구벌대로504길 26,,행정복지센터,217,54,2,14,Y,Y,N,Y,N,Y,Y,N,35.8563233,128.6380672,서○○,053-666-2891,박○○,053-666-2558,강○○,053-666-3597,Y,N
