구분,주소,연락처
수성구청,대구광역시 수성구 달구벌대로 2450(범어동),053-666-2000
범어1동, 대구광역시 수성구 범어천로 97(범어동),053-666-3301
범어2동, 대구광역시 수성구 달구벌대로489안길 47(범어동),053-666-3302
범어3동,대구광역시 수성구 상록로 42(범어동),053-666-3303
범어4동, 대구광역시 수성구 달구벌대로504길 26(범어동),053-666-3304
만촌1동, 대구광역시 수성구 국채보상로 1001(만촌동),053-666-3305
만촌2동, 대구광역시 수성구 무열로 12(만촌동),053-666-3306
만촌3동, 대구광역시 수성구 교학로2길 45(만촌동),053-666-3307
수성1가, 대구광역시 수성구 명덕로73길 7(수성동1가),053-666-3308
수성2·3가, 대구광역시 수성구 명덕로 443-2(수성동3가),053-666-3309
수성4가, 대구광역시 수성구 들안로67길 64(수성동4가),053-666-3310
황금1동, 대구광역시 수성구 청호로57길 10(황금동),053-666-3311
황금2동, 대구광역시 수성구 청솔로2길 64(황금동),053-666-3312
중동, 대구광역시 수성구 수성로50길 38(중동),053-666-3313
상동, 대구광역시 수성구 들안로9길 56(상동),053-666-3314
파동, 대구광역시 수성구 파동로22길 7(파동),053-666-3315
두산동, 대구광역시 수성구 상화로 95(두산동),053-666-3316
지산1동, 대구광역시 수성구 지범로21길 16(지산동),053-666-3317
지산2동, 대구광역시 수성구 용학로33길 9(지산동),053-666-3318
범물1동, 대구광역시 수성구 범안로 76(범물동),053-666-3319
범물2동, 대구광역시 수성구 범안로 52(범물동),053-666-3320
고산1동, 대구광역시 수성구 달구벌대로 3260-2(신매동),053-666-3321
고산2동, 대구광역시 수성구 달구벌대로 3091(시지동),053-666-3322
고산3동, 대구광역시 수성구 고산로 152(매호동),053-666-3323
